,PLAYER,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,POSITION,HEIGHT,WEIGHT,AGE,INJURY COUNT,GAMES MISSED,INJURY TYPE,TEAM
404,Nichushkin Valeri,57,0,10,10,-4,11:55,1027,18,RW,"6'4""",210,24,3,3,Upper body,Dallas
405,Nielsen Frans,72,10,25,35,-7,16:41,1641,22.8,C,"6'1""",188,35,1,5,Concussion,Detroit
406,Nieto Matt,64,4,19,23,2,13:46,1240,19.4,LW,"5'11""",190,26,2,2,Lower body,Colorado
407,Nieto Matt,64,4,19,23,2,13:46,1240,19.4,LW,"5'11""",190,26,2,15,Lower body,Colorado
408,Niskanen Matt,80,8,17,25,-3,21:56,1909,23.9,D,"6'1""",203,32,1,2,Head,Washington
409,Noesen Stefan,41,3,5,8,-19,12:44,674,16.4,RW,"6'1""",205,26,3,23,Lower body,New Jersey
410,Noesen Stefan,41,3,5,8,-19,12:44,674,16.4,RW,"6'1""",205,26,3,1,Upper body,New Jersey
411,Noesen Stefan,41,3,5,8,-19,12:44,674,16.4,RW,"6'1""",205,26,3,4,Upper body,New Jersey
412,Nordstrom Joakim,70,7,5,12,0,13:29,1300,18.6,C,"6'1""",194,27,1,10,Leg,Boston
413,Nosek Tomas,68,8,9,17,-10,12:28,1055,15.5,LW,"6'3""",210,26,1,1,Lower body,Vegas
414,Nylander Alexander,12,2,2,4,-4,12:12,190,15.8,LW,"6'1""",196,21,1,2,Leg,Buffalo
415,Oesterle Jordan,71,6,14,20,-3,18:54,1645,23.2,D,"6'0""",182,27,1,1,Upper body,Arizona/Phoenix
416,Okposo Kyle,78,14,15,29,-9,13:47,1361,17.4,RW,"6'0""",220,31,1,4,Concussion,Buffalo
417,Oleksiak Jamie,57,4,8,12,5,14:44,1175,20.6,D,"6'7""",255,26,1,3,Concussion,Pittsburgh
418,Orpik Brooks,53,2,7,9,8,15:40,1030,19.4,D,"6'3""",217,38,1,27,Lower body,Washington
419,Oshie T.J.,69,25,29,54,5,18:37,1422,20.6,RW,"5'11""",195,32,1,11,Concussion,Washington
420,Paajarvi Magnus,80,11,8,19,-14,13:28,1516,19,LW,"6'3""",206,28,1,2,Upper body,Ottawa
421,Pacioretty Max,66,22,18,40,-13,17:00,1214,18.4,LW,"6'2""",206,30,3,3,Leg,Vegas
422,Pacioretty Max,66,22,18,40,-13,17:00,1214,18.4,LW,"6'2""",206,30,3,7,Lower body,Vegas
423,Pacioretty Max,66,22,18,40,-13,17:00,1214,18.4,LW,"6'2""",206,30,3,4,Upper body,Vegas
424,Pageau Jean-Gabriel,39,4,8,12,-12,17:51,932,23.9,C,"5'10""",184,26,1,42,Achilles,Ottawa
425,Palat Ondrej,64,8,26,34,4,14:53,1208,18.9,LW,"6'0""",188,28,2,16,Lower body,Tampa Bay
426,Palat Ondrej,64,8,26,34,4,14:53,1208,18.9,LW,"6'0""",188,28,2,2,Upper body,Tampa Bay
427,Palmieri Kyle,74,27,23,50,-9,18:09,1580,21.4,RW,"5'11""",185,28,3,3,Lower body,New Jersey
428,Palmieri Kyle,74,27,23,50,-9,18:09,1580,21.4,RW,"5'11""",185,28,3,4,Lower body,New Jersey
429,Palmieri Kyle,74,27,23,50,-9,18:09,1580,21.4,RW,"5'11""",185,28,3,1,Upper body,New Jersey
