PLAYER,TEAM,GP,G,A,PTS,+/-,TOI/G,SHFT,SHFT/G,PROD
"Ryan Suter, D",MIN,82,7,40,47,-8,26:42:00,2222,27.1,46:34:00
"Drew Doughty, D",LA,82,8,37,45,-34,26:36:00,2393,29.2,48:27:00
"Kris Letang, D",PIT,65,16,40,56,13,25:58:00,1923,29.6,30:07:00
"Seth Jones, D",CBJ,75,9,37,46,1,25:49:00,2214,29.5,42:06:00
"Roman Josi, D",NSH,82,15,41,56,9,25:10:00,2359,28.8,36:51:00
"Ivan Provorov, D",PHI,82,7,19,26,-16,25:07:00,2369,28.9,79:12:00
"Brent Burns, D",SJ,82,16,67,83,13,25:06:00,2200,26.8,24:47:00
"John Carlson, D",WSH,80,13,57,70,21,25:04:00,2041,25.5,28:38:00
"Rasmus Ristolainen, D",BUF,78,5,38,43,-41,24:38:00,2076,26.6,44:41:00
"Alexander Edler, D",VAN,56,10,24,34,3,24:34:00,1683,30.1,40:28:00
"John Klingberg, D",DAL,64,10,35,45,6,24:32:00,1719,26.9,34:53:00
"Erik Karlsson, D",SJ,53,3,42,45,6,24:29:00,1384,26.1,28:50:00
"Dustin Byfuglien, D",WPG,42,4,27,31,4,24:22:00,991,23.6,33:00:00
"Esa Lindell, D",DAL,82,11,21,32,14,24:20:00,2314,28.2,62:20:00
"Thomas Chabot, D",OTT,70,14,41,55,-12,24:17:00,1936,27.7,30:54:00
"Mark Giordano, D",CGY,78,17,57,74,39,24:14:00,2177,27.9,25:33:00
"Jared Spurgeon, D",MIN,82,14,29,43,-1,24:09:00,2170,26.5,46:02:00
"Alex Pietrangelo, D",STL,71,13,28,41,2,24:05:00,2061,29,41:41:00
"Ryan Ellis, D",NSH,82,7,34,41,21,24:01:00,2320,28.3,48:01:00
"Hampus Lindholm, D",ANA,76,6,22,28,-5,24:00:00,2281,30,65:07:00
"Oscar Klefbom, D",EDM,61,5,23,28,-11,23:59,1695,27.8,52:14:00
"Darnell Nurse, D",EDM,82,10,31,41,-5,23:49,2306,28.1,47:38:00
"Aaron Ekblad, D",FLA,82,13,24,37,1,23:39,2468,30.1,52:24:00
"Oliver Ekman-Larsson, D",ARI,81,14,30,44,-16,23:38,2231,27.5,43:31:00
"Shea Weber, D",MTL,58,14,19,33,15,23:29,1572,27.1,41:16:00
"Matt Dumba, D",MIN,32,12,10,22,-5,23:23,799,25,34:00:00
"Cam Fowler, D",ANA,59,5,18,23,-14,23:22,1727,29.3,59:56:00
"Mattias Ekholm, D",NSH,80,8,36,44,27,23:22,2288,28.6,42:28:00
"Morgan Rielly, D",TOR,82,20,52,72,24,23:07,2364,28.8,26:20:00
"Jeff Petry, D",MTL,82,13,33,46,-5,23:07,2185,26.6,41:12:00
"Miro Heiskanen, D",DAL,82,12,21,33,-14,23:07,2282,27.8,57:26:00
"Jaccob Slavin, D",CAR,82,8,23,31,0,23:02,2203,26.9,60:56:00
"Duncan Keith, D",CHI,82,6,34,40,13,23:01,2272,27.7,47:11:00
"Zach Werenski, D",CBJ,82,11,33,44,-12,22:54,2250,27.4,42:40:00
"Jacob Trouba, D",WPG,82,8,42,50,8,22:53,1997,24.4,37:31:00
"Connor McDavid, C",EDM,78,41,75,116,3,22:50,1998,25.6,15:21
"Colton Parayko, D",STL,80,10,18,28,20,22:47,2329,29.1,65:05:00
"Victor Hedman, D",TB,70,12,42,54,24,22:46,1734,24.8,29:31:00
"P.K. Subban, D",NSH,63,9,22,31,5,22:40,1731,27.5,46:03:00
"Leon Draisaitl, C",EDM,82,50,55,105,2,22:35,2126,25.9,17:38
"Erik Gustafsson, D",CHI,79,17,43,60,-6,22:35,2019,25.6,29:44:00
"Cody Ceci, D",OTT,74,7,19,26,-22,22:34,2048,27.7,64:12:00
"Patrick Kane, RW",CHI,81,44,66,110,2,22:29,1912,23.6,16:33
"Brandon Montour, D",BUF/ANA,82,8,27,35,-20,22:27,2252,27.5,52:35:00
"Keith Yandle, D",FLA,82,9,53,62,-17,22:27,2304,28.1,29:41:00
"Justin Faulk, D",CAR,82,11,24,35,9,22:25,2150,26.2,52:32:00
"Josh Morrissey, D",WPG,59,6,25,31,9,22:24,1439,24.4,42:38:00
"Ryan Pulock, D",NYI,82,9,28,37,21,22:22,2278,27.8,49:33:00
"Ben Hutton, D",VAN,69,5,15,20,-23,22:21,1908,27.7,77:07:00
"Aleksander Barkov, C",FLA,82,35,61,96,-3,22:21,2218,27,19:05
"Michael Matheson, D",FLA,75,8,19,27,-24,22:19,2126,28.3,61:59:00
"Josh Manson, D",ANA,74,3,13,16,-8,22:18,2099,28.4,103:10:00
"Anze Kopitar, C",LA,81,22,38,60,-20,22:18,2146,26.5,30:06:00
"Charlie McAvoy, D",BOS,54,7,21,28,14,22:10,1448,26.8,42:45:00
