Date,Team,Acquired,Relinquised,Notes
2/26/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
2/27/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
2/27/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
2/27/2013,Hornets,,Anthony Davis,sprained left shoulder (DNP)
2/27/2013,Hornets,,Eric Gordon,sore knee (DNP)
2/27/2013,Jazz,,Paul Millsap,sprained left ankle (DNP)
2/27/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
2/28/2013,Bulls,,Richard Hamilton,lower back spasms (DNP)
2/28/2013,Bulls,,Taj Gibson,sore left knee (DNP)
2/28/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
2/28/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/1/2013,Cavaliers,,Kyrie Irving,hyperextended right knee (DNP)
3/1/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/1/2013,Hornets,,Anthony Davis,sprained left shoulder (DNP)
3/1/2013,Hornets,,Jason Smith,torn labrum in right shoulder (DNP)
3/1/2013,Jazz,,Al Jefferson,sprained left ankle (DNP)
3/1/2013,Jazz,,Paul Millsap,sprained left ankle (DNP)
3/1/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
3/1/2013,Spurs,,Stephen Jackson,sprained right ankle (DNP)
3/2/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/2/2013,Bulls,,Richard Hamilton,sore lower back (DNP)
3/2/2013,Raptors,,Rudy Gay,back spasms (DNP)
3/2/2013,Spurs,,(William) Tony Parker,sprained left ankle (out indefinitely)
3/2/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/2/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/2/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/3/2013,76ers,,Nick Young,left foot injury (DNP)
3/3/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/3/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/3/2013,Magic,,Jameer Nelson,bruised patella in left knee (DNP)
3/4/2013,Cavaliers,,Dion Waiters,illness / calf ailment (CBC) (DNP)
3/4/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/4/2013,Cavaliers,,Tyler Zeller,illness (DNP)
3/4/2013,Hawks,,Kyle Korver,sprained right big toe (DNP)
3/4/2013,Hawks,,Zaur Pachulia / Zaza Pachulia,sore right Achilles tendon (DNP)
3/4/2013,Jazz,,Al Jefferson,sprained left ankle (DNP)
3/4/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/4/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/4/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/6/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/6/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/6/2013,Cavaliers,,Daniel Gibson,illness (DNP)
3/6/2013,Cavaliers,,Dion Waiters,illness / calf ailment (CBC) (DNP)
3/6/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/6/2013,Grizzlies,,Darrell Arthur,back injury (DTD)
3/6/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/6/2013,Pistons,,Charlie Villanueva,sore left hamstring (DNP)
3/6/2013,Pistons,,Greg Monroe,sore left ankle (DNP)
3/6/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/6/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/6/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/7/2013,Bobcats,,Ramon Sessions,sprained MCL in left knee (out for season)
3/7/2013,Clippers,,Jamal Crawford,sore left ankle (DNP)
3/7/2013,Hornets,,Austin Rivers,fractured hand (out indefinitely)
3/7/2013,Suns,,Marcin Gortat,sprained right foot (out indefinitely)
3/8/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/8/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/8/2013,Cavaliers,,Daniel Gibson,illness (DNP)
3/8/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/8/2013,Grizzlies,,Darrell Arthur,sore neck (DNP)
3/8/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/8/2013,Hawks,,Ivan Johnson,left finger injury (DNP) (CBC)
3/9/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/9/2013,Grizzlies,,Zach Randolph,sprained left ankle (DNP)
3/9/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/9/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/9/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/9/2013,Warriors,,David Lee,bruised right knee (DNP)
3/10/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/10/2013,Blazers,,Meyers Leonard,sprained right ankle (DNP)
3/10/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/10/2013,Bucks,,J.J. Redick,ankle injury (DNP)
3/10/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/10/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/10/2013,Clippers,,Jamal Crawford,sore left ankle (DNP)
3/10/2013,Hornets,,Eric Gordon,rest / right knee injury (DNP)
3/10/2013,Raptors,,Rudy Gay,stiff back (DNP)
3/10/2013,Timberwolves,,Andrei Kirilenko,strained left calf (DNP)
3/10/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/10/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/11/2013,76ers,,Nick Young,sprained left ankle (DNP)
3/11/2013,Cavaliers,,Kyrie Irving,sprained left shoulder (out indefinitely)
3/11/2013,Pistons,,Jason Maxiell,sprained right ankle (DNP)
3/12/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/12/2013,Bobcats,,DeSagana Diop,sore right knee (DNP)
3/12/2013,Cavaliers,,Omri Casspi,recovering from appendectomy (DNP)
3/12/2013,Celtics,,Paul Pierce,DNP
3/12/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/12/2013,Hornets,,Ryan Anderson,viral infection (DNP)
3/12/2013,Spurs,,Kawhi Leonard,sore left knee (DNP)
3/12/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/12/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/12/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/13/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/13/2013,Clippers,,Caron Butler,strained left calf / left elbow injury (CBC) (DNP)
3/13/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/13/2013,Hawks,,Jeff Teague,sprained left ankle (DNP)
3/13/2013,Hawks,,Josh Smith,sprained left knee (DNP)
3/13/2013,Kings,,DeMarcus Cousins,thigh injury (DNP)
3/13/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/13/2013,Rockets,,Tim Ohlbrecht,sprained right ankle (DNP)
3/13/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/13/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/13/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/13/2013,Wizards,,A.J. Price,groin injury (DNP)
3/14/2013,Knicks,,Tyson Chandler,bruised left knee / strained neck (DNP)
3/14/2013,Lakers,,Kobe Bryant,sprained left ankle (out indefinitely)
3/15/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/15/2013,Cavaliers,,Wayne Ellington,sprained left ankle (DNP)
3/15/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/15/2013,Magic,,Andrew Nicholson,illness (DNP)
3/15/2013,Rockets,,Tim Ohlbrecht,sprained right ankle (DNP)
3/15/2013,Thunder,,Hasheem Thabeet,sore lower back (DNP)
3/15/2013,Timberwolves,,Andrei Kirilenko,strained right quadricep (DNP)
3/15/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/15/2013,Timberwolves,,Nikola Pekovic,abdominal strain (DNP)
3/15/2013,Wizards,,A.J. Price,sore right groin (DNP)
3/16/2013,Blazers,,Victor Claver,sprained left ankle (DNP)
3/16/2013,Celtics,,Kevin Garnett,strained left abductor (DNP)
3/16/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/16/2013,Grizzlies,,Tony Wroten Jr.,migraine headache (DNP)
3/16/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/16/2013,Wizards,,A.J. Price,sore right knee (DNP)
3/16/2013,Wizards,,Trevor Ariza,sore left knee (DNP)
3/17/2013,Kings,,DeMarcus Cousins,bruised left quadriceps (DNP)
3/17/2013,Knicks,,Tyson Chandler,strained neck (DNP)
3/17/2013,Lakers,,Kobe Bryant,sprained left ankle (DNP)
3/17/2013,Mavericks,,Rodrigue Beaubois,fractured left hand (out indefinitely)
3/17/2013,Thunder,,Hasheem Thabeet,sore lower back (DNP)
3/17/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/18/2013,76ers,,Andrew Bynum,arthroscopic surgery on both knees (date approximate)
3/18/2013,Bulls,,Kirk Hinrich,right foot injury (DNP)
3/18/2013,Celtics,,Kevin Garnett,strained left abductor (DNP)
3/18/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/18/2013,Hornets,,Eric Gordon,right knee injury (DNP)
3/18/2013,Knicks,,Tyson Chandler,strained neck (DNP)
3/18/2013,Lakers,,Kobe Bryant,sprained left ankle (DNP)
3/18/2013,Mavericks,,Rodrigue Beaubois,fractured left hand (DNP)
3/18/2013,Nets,,Keith Bogans,left ankle injury (DTD)
3/18/2013,Nets,,Kris Humphries,tightness in lower back (DNP)
3/18/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/18/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/19/2013,Cavaliers,,Dion Waiters,sore left knee (DTD)
3/19/2013,Magic,,Al Harrington,DNP
3/20/2013,Bobcats,,Brendan Haywood,sore left ankle (DNP)
3/20/2013,Cavaliers,,Dion Waiters,sore left knee (DNP)
3/20/2013,Clippers,,Chauncey Billups,hamstring injury (DTD)
3/20/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
3/20/2013,Knicks,,Tyson Chandler,strained neck (DNP)
3/20/2013,Magic,,Nikola Vucevic,illness/concussion (DNP)
3/20/2013,Nets,,Kris Humphries,sore lower back (DNP)
3/20/2013,Wizards,,Emeka Okafor,flu (DNP)
3/20/2013,Mavericks,,Shawn Marion,strained left calf (DNP)
3/21/2013,Bobcats,,Brendan Haywood,stress fracture in left foot (out for season)
3/21/2013,Nuggets,,Ty Lawson,heel injury (DTD)
3/21/2013,Timberwolves,,Kevin Love,recovering from surgery to repair fractured right hand/finger (DNP)
3/22/2013,Cavaliers,,Dion Waiters,left knee injury (DNP)
3/22/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/22/2013,Magic,,Nikola Vucevic,concussion (DNP)
3/22/2013,Pistons,,Brandon Knight,sprained left ankle (DNP)
3/22/2013,Raptors,,Sebastian Telfair,knee injury (DNP)
3/22/2013,Rockets,,Tim Ohlbrecht,sprained ankle (DNP)
3/22/2013,Suns,,Jared Dudley,stomach virus / flu (DNP)
3/22/2013,Suns,,Jermaine O'Neal,strained left calf (DNP)
3/22/2013,Wizards,,Bradley Beal,sprained left ankle (DNP)
3/22/2013,Wizards,,Emeka Okafor,flu (DNP)
3/23/2013,Bobcats,,Brendan Haywood,stress fracture in left foot (DNP)
3/23/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
3/23/2013,Celtics,,Courtney Lee,sprained left ankle (DNP)
3/23/2013,Celtics,,Kevin Garnett,sprained left ankle (DNP)
3/23/2013,Grizzlies,,Marc Gasol,torn abdominal muscle (DTD)
3/23/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/23/2013,Magic,,Arron Afflalo,strained right hamstring (out for season)
3/23/2013,Nuggets,,Ty Lawson,sore heel (DNP)
3/23/2013,Raptors,,Rudy Gay,stiff back (DNP)
3/23/2013,Raptors,,Sebastian Telfair,knee injury (DNP)
3/23/2013,Wizards,,Bradley Beal,sprained left ankle (DNP)
3/23/2013,Wizards,,Trevor Ariza,flu (DNP)
3/24/2013,Bobcats,,Josh McRoberts,left shoulder injury (DNP)
3/24/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
3/24/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
3/24/2013,Nets,,Joe Johnson,bruised right quadriceps (DNP)
3/24/2013,Rockets,,Francisco Garcia,illness (DNP)
3/24/2013,Rockets,,Tim Ohlbrecht,sprained right ankle (DNP)
3/24/2013,Suns,,Jermaine O'Neal,strained left calf (DNP)
3/25/2013,Hawks,,Devin Harris,sore left foot (DNP)
3/25/2013,Hornets,,Eric Gordon,sore left ankle (DNP)
3/25/2013,Hornets,,Greivis Vasquez,sprained left ankle (DNP)
3/25/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
3/25/2013,Magic,,Nikola Vucevic,concussion (DNP)
3/25/2013,Pacers,,George Hill,strained left groin (DNP)
3/25/2013,Pacers,,Lance Stephenson,strained right hip flexor (DNP)
3/25/2013,Wizards,,Bradley Beal,sprained left ankle (DNP)
3/25/2013,Wizards,,Martell Webster,strained abdominal (DNP)
3/25/2013,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore right knee (DNP)
3/25/2013,Wizards,,Trevor Ariza,flu (DNP)
3/26/2013,Celtics,,Courtney Lee,sprained left ankle (DNP)
3/26/2013,Celtics,,Kevin Garnett,left ankle inflammation (DNP)
3/26/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/26/2013,Pistons,,Will Bynum,strained right hand (DNP)
3/27/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
3/27/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
3/27/2013,Cavaliers,,Dion Waiters,sore left knee (DNP)
3/27/2013,Celtics,,Courtney Lee,sprained left ankle (DNP)
3/27/2013,Celtics,,Kevin Garnett,left ankle inflammation (DNP)
3/27/2013,Grizzlies,Marc Gasol,,returned to lineup
3/27/2013,Hawks,,Devin Harris,sore left foot (DNP)
3/27/2013,Jazz,,Enes Kanter,dislocated left shoulder (out indefinitely)
3/27/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/27/2013,Magic,,Andrew Nicholson,sprained left ankle (DNP)
3/27/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
3/27/2013,Magic,,Nikola Vucevic,concussion (DNP)
3/27/2013,Nets,,Joe Johnson,bruised right quadriceps (DNP)
3/27/2013,Raptors,,Sebastian Telfair,knee injury (DNP)
3/27/2013,Rockets,,Francisco Garcia,illness (DNP)
3/27/2013,Wizards,,Bradley Beal,sprained left ankle (DNP)
3/27/2013,Wizards,,Jason Collins,sprained left ankle (P) / flu (CBC) (DNP)
3/27/2013,Wizards,,Martell Webster,strained abdominal (DNP)
3/27/2013,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore right knee (DNP)
3/27/2013,Wizards,,Trevor Ariza,flu (DNP)
3/27/2013,Lakers,,Metta World Peace / Ron Artest,torn meniscus in left knee (out indefinitely)
3/27/2013,Lakers,,Metta World Peace / Ron Artest,torn meniscus in left knee (DNP)
3/28/2013,Lakers,,Metta World Peace / Ron Artest,surgery on left knee to repair torn meniscus (out indefinitely)
3/28/2013,Lakers,,Metta World Peace / Ron Artest,recovering from surgery on left knee to repair torn meniscus (DNP)
3/29/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (DNP)
3/29/2013,Cavaliers,,Dion Waiters,sore left knee (DNP)
3/29/2013,Celtics,,Kevin Garnett,left ankle inflammation (DNP)
3/29/2013,Hawks,,Al Horford,stomach illness (DNP)
3/29/2013,Hawks,,Devin Harris,sore left foot (DNP)
3/29/2013,Hornets,,Greivis Vasquez,sore/sprained left ankle (DNP)
3/29/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/29/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
3/29/2013,Magic,,Nikola Vucevic,concussion (DNP)
3/29/2013,Pistons,,Charlie Villanueva,illness (DNP)
3/29/2013,Raptors,,Sebastian Telfair,knee injury (DNP)
3/29/2013,Rockets,,Francisco Garcia,illness (DNP)
3/29/2013,Wizards,,Jason Collins,flu (DNP)
3/29/2013,Wizards,,Nene / Nene Hilario / Maybyner Hilario,sore right knee (DNP)
3/30/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (DNP)
3/30/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
3/30/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
3/30/2013,Hawks,,Al Horford,stomach illness (DNP)
3/30/2013,Hawks,,John Jenkins,concussion (DNP)
3/30/2013,Lakers,,Metta World Peace / Ron Artest,recovering from surgery on left knee to repair torn meniscus (DNP)
3/30/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
3/30/2013,Magic,,Jameer Nelson,sprained right ankle (DNP)
3/30/2013,Rockets,,James Harden,sore right foot (DNP)
3/30/2013,Timberwolves,,Nikola Pekovic,sprained left ankle (DNP)
3/31/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
3/31/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
3/31/2013,Celtics,,Kevin Garnett,left ankle inflammation (DNP)
3/31/2013,Heat,,Dwyane Wade,sprained right ankle (DNP)
3/31/2013,Heat,,LeBron James,strained right hamstring (DNP)
3/31/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
3/31/2013,Pistons,,Will Bynum,strained right hand (DNP)
4/1/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (DNP)
4/1/2013,Cavaliers,,C.J. Miles,sore right ankle (DNP)
4/1/2013,Cavaliers,,Kyrie Irving,left shoulder injury / rest (DNP)
4/1/2013,Celtics,,Paul Pierce,sore ankle (DNP) (P)
4/1/2013,Hawks,,John Jenkins,concussion (DNP)
4/1/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
4/1/2013,Magic,,Jameer Nelson,sprained right ankle (DNP)
4/1/2013,Pistons,,Will Bynum,strained right hand (DNP)
4/1/2013,Rockets,,James Harden,sore right foot (DNP)
4/1/2013,Spurs,,Kawhi Leonard,sore left knee (DNP)
4/2/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
4/2/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
4/2/2013,Heat,,Dwyane Wade,sprained right ankle (DNP)
4/2/2013,Heat,,LeBron James,strained right hamstring (DNP)
4/2/2013,Lakers,,Metta World Peace / Ron Artest,recovering from surgery on left knee to repair torn meniscus (DNP)
4/2/2013,Lakers,,Steve Nash,strained right hamstring (DNP)
4/3/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (DNP)
4/3/2013,Bobcats,,DeSagana Diop,sore right knee (DNP)
4/3/2013,Bobcats,,Jeffery Taylor / Jeff Taylor (b),strained right plantar fascia (DNP)
4/3/2013,Hawks,,Devin Harris,sore left foot (DNP)
4/3/2013,Hawks,,John Jenkins,concussion (DNP)
4/3/2013,Hawks,,Zaur Pachulia / Zaza Pachulia,surgery on right Achilles tendon (out for season)
4/3/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
4/3/2013,Magic,,Jameer Nelson,sprained right ankle (DNP)
4/3/2013,Pistons,,Jose Calderon,arm injury (DNP)
4/3/2013,Pistons,,Will Bynum,strained right hand (DNP)
4/3/2013,Spurs,,(William) Tony Parker,sore left ankle (DNP)
4/3/2013,Spurs,,DeJuan Blair,stomach virus (DNP)
4/3/2013,Wizards,,Jason Collins,sprained right ankle (DNP)
4/4/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
4/4/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
4/4/2013,Mavericks,,Elton Brand,sore right calf (DNP)
4/4/2013,Pacers,,Danny Granger,surgery on left knee (out for season)
4/5/2013,76ers,,Dorell Wright,right elbow injury (DNP)
4/5/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (DNP)
4/5/2013,Bulls,,Joakim Noah,plantar fasciitis in right foot (DNP)
4/5/2013,Bulls,,Marco Belinelli,strained abdominal muscle (DNP)
4/5/2013,Cavaliers,,Daniel Gibson,elbow injury (DNP)
4/5/2013,Celtics,,Paul Pierce,sore left ankle (P) / sore right ankle (CBC) (DNP)
4/5/2013,Hawks,,Devin Harris,sore left foot (DNP)
4/5/2013,Heat,,LeBron James,strained right hamstring (DNP)
4/5/2013,Heat,,Ray Allen,sprained right ankle (DNP)
4/5/2013,Jazz,,Marvin Williams,right heel injury (DNP)
4/5/2013,Knicks,,Kenyon Martin,sore left knee (P) / sore right knee (CBC) (DNP)
4/5/2013,Knicks,,Marcus Camby,plantar fasciitis in left foot (DNP)
4/5/2013,Lakers,,Metta World Peace / Ron Artest,recovering from surgery on left knee to repair torn meniscus (DNP)
4/5/2013,Lakers,,Steve Nash,strained right hamstring (DNP)
4/5/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
4/5/2013,Magic,,Jameer Nelson,sprained right ankle (DNP)
4/5/2013,Mavericks,,Elton Brand,sore right calf (DNP)
4/5/2013,Nuggets,,Danilo Gallinari,torn ACL in left knee (out for season)
4/5/2013,Rockets,,Chandler Parsons,strained right calf (DNP)
4/6/2013,Hawks,,Al Horford,hamstring injury (DTD)
4/6/2013,Hawks,,Josh Smith,knee injury (DNP)
4/6/2013,Heat,,Chris Bosh,sore right knee (DNP)
4/6/2013,Pistons,,Will Bynum,strained right hand (DNP)
4/6/2013,Rockets,,Chandler Parsons,strained right calf (DNP)
4/7/2013,Bulls,,Luol Deng,sore right hip (DNP)
4/7/2013,Cavaliers,,Daniel Gibson,elbow injury (DNP)
4/7/2013,Cavaliers,,Luke Walton,sprained right ankle (DNP)
4/7/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
4/7/2013,Jazz,,Alec Burks,sprained left ankle (DNP)
4/7/2013,Kings,,Patrick Patterson,sore lower back (DNP)
4/7/2013,Knicks,,Kenyon Martin,sore left knee (P) / sore right knee (CBC) (DNP)
4/7/2013,Knicks,,Marcus Camby,plantar fasciitis in left foot (DNP)
4/7/2013,Lakers,,Metta World Peace / Ron Artest,recovering from surgery on left knee to repair torn meniscus (DNP)
4/7/2013,Lakers,,Steve Nash,strained right hamstring (DNP)
4/7/2013,Magic,,Arron Afflalo,strained right hamstring (DNP)
4/7/2013,Magic,,Jameer Nelson,sprained right ankle (DNP)
4/7/2013,Mavericks,,Elton Brand,sore right calf (DNP)
4/7/2013,Pistons,,Jose Calderon,strained right triceps (DNP)
4/7/2013,Suns,,Jermaine O'Neal,bruised left shin (DNP)
4/9/2013,Bobcats,,Byron Mullens / B.J. Mullens,sore left ankle (P) / left elbow injury (CBC) (DNP)
4/9/2013,Bulls,,Luol Deng,right hip injury (DNP)
4/9/2013,Cavaliers,,C.J. Miles,concussion (DNP)
4/9/2013,Cavaliers,,Daniel Gibson,elbow injury (DNP)
4/9/2013,Cavaliers,,Luke Walton,sprained right ankle (DNP)
4/9/2013,Grizzlies,,Darrell Arthur,back injury (DNP)
4/9/2013,Jazz,,Marvin Williams,stomach flu (DNP)
4/9/2013,Knicks,,Marcus Camby,plantar fasciitis in left foot (DNP)
4/9/2013,Knicks,,Tyson Chandler,bulging disc in neck (DNP)
4/9/2013,Lakers,,Devin Ebanks,upper respiratory infection (DNP)
4/9/2013,Lakers,,Steve Nash,strained right hamstring (DNP)
4/9/2013,Rockets,,Chandler Parsons,strained right calf (DNP)
4/9/2013,Wizards,,Trevor Ariza,left knee injury (DTD)
